t'	a(t')	Trad(t')	Tb(t')	z(t')	i
1.4417919e-006	3.5589811e-004	7.6580907e+003	7.6469638e+003	2.8087930e+003	135
1.4548991e-006	3.5642515e-004	7.6467669e+003	7.6356191e+003	2.8046382e+003	136
1.4680063e-006	3.5695162e-004	7.6354885e+003	7.6243199e+003	2.8005001e+003	137
1.4811135e-006	3.5747753e-004	7.6242554e+003	7.6130660e+003	2.7963786e+003	138
1.4942207e-006	3.5800288e-004	7.6130672e+003	7.6018570e+003	2.7922736e+003	139
1.5073279e-006	3.5852767e-004	7.6019236e+003	7.5906927e+003	2.7881850e+003	140
1.5204351e-006	3.5905191e-004	7.5908244e+003	7.5795728e+003	2.7841126e+003	141
1.5335423e-006	3.5957559e-004	7.5797693e+003	7.5684969e+003	2.7800564e+003	142
1.5466495e-006	3.6009872e-004	7.5687579e+003	7.5574647e+003	2.7760163e+003	143
1.5597567e-006	3.6062129e-004	7.5577900e+003	7.5464761e+003	2.7719921e+003	144
1.5728639e-006	3.6114332e-004	7.5468652e+003	7.5355307e+003	2.7679838e+003	145
1.5859711e-006	3.6166481e-004	7.5359834e+003	7.5246282e+003	2.7639912e+003	146
1.5990783e-006	3.6218575e-004	7.5251443e+003	7.5137683e+003	2.7600142e+003	147
1.6121855e-006	3.6270614e-004	7.5143475e+003	7.5029509e+003	2.7560528e+003	148
1.6252927e-006	3.6322600e-004	7.5035928e+003	7.4921755e+003	2.7521069e+003	149
1.6383999e-006	3.6374532e-004	7.4928799e+003	7.4814420e+003	2.7481763e+003	150
1.6515071e-006	3.6426410e-004	7.4822086e+003	7.4707500e+003	2.7442609e+003	151
1.6646143e-006	3.6478235e-004	7.4715785e+003	7.4600993e+003	2.7403607e+003	152
1.6777215e-006	3.6530007e-004	7.4609895e+003	7.4494897e+003	2.7364755e+003	153
1.6908287e-006	3.6581726e-004	7.4504413e+003	7.4389209e+003	2.7326053e+003	154
1.7039359e-006	3.6633392e-004	7.4399336e+003	7.4283925e+003	2.7287500e+003	155
1.7170431e-006	3.6685005e-004	7.4294661e+003	7.4179045e+003	2.7249094e+003	156
1.7301503e-006	3.6736566e-004	7.4190386e+003	7.4074564e+003	2.7210835e+003	157
1.7432575e-006	3.6788075e-004	7.4086509e+003	7.3970481e+003	2.7172722e+003	158
1.7563647e-006	3.6839531e-004	7.3983026e+003	7.3866793e+003	2.7134754e+003	159
1.7694719e-006	3.6890936e-004	7.3879936e+003	7.3763498e+003	2.7096930e+003	160
1.7825791e-006	3.6942289e-004	7.3777237e+003	7.3660593e+003	2.7059248e+003	161
1.7956863e-006	3.6993591e-004	7.3674924e+003	7.3558076e+003	2.7021710e+003	162
1.8087935e-006	3.7044841e-004	7.3572997e+003	7.3455944e+003	2.6984312e+003	163
1.8219007e-006	3.7096040e-004	7.3471453e+003	7.3354195e+003	2.6947055e+003	164
1.8350079e-006	3.7147189e-004	7.3370290e+003	7.3252826e+003	2.6909937e+003	165
1.8481151e-006	3.7198286e-004	7.3269504e+003	7.3151836e+003	2.6872959e+003	166
1.8612223e-006	3.7249334e-004	7.3169094e+003	7.3051221e+003	2.6836118e+003	167
1.8743295e-006	3.7300330e-004	7.3069058e+003	7.2950981e+003	2.6799414e+003	168
1.8874367e-006	3.7351277e-004	7.2969393e+003	7.2851111e+003	2.6762847e+003	169
1.9005439e-006	3.7402173e-004	7.2870097e+003	7.2751611e+003	2.6726414e+003	170
1.9136511e-006	3.7453020e-004	7.2771168e+003	7.2652477e+003	2.6690117e+003	171
1.9267583e-006	3.7503817e-004	7.2672603e+003	7.2553708e+003	2.6653953e+003	172
1.9398655e-006	3.7554565e-004	7.2574400e+003	7.2455301e+003	2.6617922e+003	173
1.9529727e-006	3.7605263e-004	7.2476558e+003	7.2357255e+003	2.6582023e+003	174
1.9660799e-006	3.7655912e-004	7.2379073e+003	7.2259566e+003	2.6546255e+003	175
1.9791871e-006	3.7706512e-004	7.2281944e+003	7.2162234e+003	2.6510618e+003	176
1.9922943e-006	3.7757064e-004	7.2185169e+003	7.2065255e+003	2.6475110e+003	177
2.0054015e-006	3.7807566e-004	7.2088745e+003	7.1968628e+003	2.6439732e+003	178
2.0185087e-006	3.7858021e-004	7.1992670e+003	7.1872350e+003	2.6404482e+003	179
2.0316159e-006	3.7908427e-004	7.1896943e+003	7.1776419e+003	2.6369359e+003	180
