t'	a(t')	Trad(t')	Tb(t')	z(t')	i
5.57680e-007	3.11945e-004	8.73713e+003	8.23907e+003	3.20470e+003	234
5.60110e-007	3.12022e-004	8.73496e+003	8.23500e+003	3.20390e+003	235
5.62540e-007	3.12100e-004	8.73278e+003	8.23093e+003	3.20310e+003	236
5.64970e-007	3.12177e-004	8.73061e+003	8.22686e+003	3.20231e+003	237
5.67400e-007	3.12255e-004	8.72844e+003	8.22280e+003	3.20151e+003	238
5.69830e-007	3.12333e-004	8.72627e+003	8.21875e+003	3.20071e+003	239
5.72260e-007	3.12410e-004	8.72411e+003	8.21469e+003	3.19992e+003	240
5.74690e-007	3.12488e-004	8.72194e+003	8.21064e+003	3.19912e+003	241
5.77120e-007	3.12565e-004	8.71978e+003	8.20659e+003	3.19833e+003	242
5.79550e-007	3.12643e-004	8.71761e+003	8.20255e+003	3.19754e+003	243
5.81980e-007	3.12720e-004	8.71545e+003	8.19851e+003	3.19674e+003	244
5.84410e-007	3.12798e-004	8.71329e+003	8.19447e+003	3.19595e+003	245
5.86840e-007	3.12876e-004	8.71113e+003	8.19044e+003	3.19516e+003	246
5.89270e-007	3.12953e-004	8.70897e+003	8.18641e+003	3.19437e+003	247
5.91700e-007	3.13031e-004	8.70682e+003	8.18238e+003	3.19358e+003	248
5.94130e-007	3.13108e-004	8.70466e+003	8.17835e+003	3.19279e+003	249
5.96560e-007	3.13186e-004	8.70251e+003	8.17433e+003	3.19200e+003	250
5.98990e-007	3.13263e-004	8.70036e+003	8.17032e+003	3.19121e+003	251
6.01420e-007	3.13341e-004	8.69820e+003	8.16630e+003	3.19042e+003	252
6.03850e-007	3.13418e-004	8.69605e+003	8.16229e+003	3.18963e+003	253
6.06280e-007	3.13495e-004	8.69391e+003	8.15828e+003	3.18884e+003	254
6.08710e-007	3.13573e-004	8.69176e+003	8.15428e+003	3.18805e+003	255
6.11140e-007	3.13650e-004	8.68961e+003	8.15028e+003	3.18726e+003	256
6.13570e-007	3.13728e-004	8.68747e+003	8.14628e+003	3.18648e+003	257
6.16000e-007	3.13805e-004	8.68533e+003	8.14229e+003	3.18569e+003	258
6.18430e-007	3.13883e-004	8.68318e+003	8.13830e+003	3.18490e+003	259
6.20860e-007	3.13960e-004	8.68104e+003	8.13431e+003	3.18412e+003	260
6.23290e-007	3.14037e-004	8.67890e+003	8.13032e+003	3.18333e+003	261
6.25720e-007	3.14115e-004	8.67677e+003	8.12634e+003	3.18255e+003	262
6.28150e-007	3.14192e-004	8.67463e+003	8.12236e+003	3.18177e+003	263
6.30580e-007	3.14269e-004	8.67249e+003	8.11839e+003	3.18098e+003	264
6.33010e-007	3.14347e-004	8.67036e+003	8.11442e+003	3.18020e+003	265
6.35440e-007	3.14424e-004	8.66823e+003	8.11045e+003	3.17942e+003	266
6.37870e-007	3.14501e-004	8.66610e+003	8.10649e+003	3.17864e+003	267
6.40300e-007	3.14579e-004	8.66397e+003	8.10252e+003	3.17785e+003	268
6.42730e-007	3.14656e-004	8.66184e+003	8.09857e+003	3.17707e+003	269
6.45160e-007	3.14733e-004	8.65971e+003	8.09461e+003	3.17629e+003	270
6.47590e-007	3.14811e-004	8.65758e+003	8.09066e+003	3.17551e+003	271
6.50020e-007	3.14888e-004	8.65546e+003	8.08671e+003	3.17473e+003	272
6.52450e-007	3.14965e-004	8.65334e+003	8.08277e+003	3.17395e+003	273
6.54880e-007	3.15042e-004	8.65121e+003	8.07882e+003	3.17318e+003	274
6.57310e-007	3.15120e-004	8.64909e+003	8.07489e+003	3.17240e+003	275
6.59740e-007	3.15197e-004	8.64697e+003	8.07095e+003	3.17162e+003	276
6.62170e-007	3.15274e-004	8.64486e+003	8.06702e+003	3.17084e+003	277
6.64600e-007	3.15351e-004	8.64274e+003	8.06309e+003	3.17007e+003	278
6.67030e-007	3.15429e-004	8.64062e+003	8.05916e+003	3.16929e+003	279
6.69460e-007	3.15506e-004	8.63851e+003	8.05524e+003	3.16851e+003	280
6.71890e-007	3.15583e-004	8.63640e+003	8.05132e+003	3.16774e+003	281
6.74320e-007	3.15660e-004	8.63428e+003	8.04740e+003	3.16696e+003	282
6.76750e-007	3.15737e-004	8.63217e+003	8.04349e+003	3.16619e+003	283
6.79180e-007	3.15815e-004	8.63006e+003	8.03958e+003	3.16541e+003	284
6.81610e-007	3.15892e-004	8.62796e+003	8.03568e+003	3.16464e+003	285
6.84040e-007	3.15969e-004	8.62585e+003	8.03177e+003	3.16387e+003	286
