t'	a(t')	Trad(t')	Tb(t')	z(t')	i
1.4548991e-006	3.3998507e-004	8.0165285e+003	8.0062365e+003	2.9403056e+003	127
1.4680063e-006	3.4038594e-004	8.0070875e+003	7.9967775e+003	2.9368417e+003	128
1.4811135e-006	3.4078657e-004	7.9976742e+003	7.9873462e+003	2.9333879e+003	129
1.4942207e-006	3.4118697e-004	7.9882887e+003	7.9779426e+003	2.9299443e+003	130
1.5073279e-006	3.4158713e-004	7.9789307e+003	7.9685666e+003	2.9265108e+003	131
1.5204351e-006	3.4198705e-004	7.9696001e+003	7.9592180e+003	2.9230873e+003	132
1.5335423e-006	3.4238673e-004	7.9602967e+003	7.9498966e+003	2.9196739e+003	133
1.5466495e-006	3.4278619e-004	7.9510205e+003	7.9406024e+003	2.9162704e+003	134
1.5597567e-006	3.4318540e-004	7.9417714e+003	7.9313353e+003	2.9128769e+003	135
1.5728639e-006	3.4358438e-004	7.9325491e+003	7.9220950e+003	2.9094932e+003	136
1.5859711e-006	3.4398313e-004	7.9233536e+003	7.9128815e+003	2.9061193e+003	137
1.5990783e-006	3.4438165e-004	7.9141848e+003	7.9036947e+003	2.9027552e+003	138
1.6121855e-006	3.4477993e-004	7.9050425e+003	7.8945343e+003	2.8994008e+003	139
1.6252927e-006	3.4517798e-004	7.8959266e+003	7.8854004e+003	2.8960562e+003	140
1.6383999e-006	3.4557580e-004	7.8868370e+003	7.8762928e+003	2.8927211e+003	141
1.6515071e-006	3.4597339e-004	7.8777735e+003	7.8672113e+003	2.8893957e+003	142
1.6646143e-006	3.4637075e-004	7.8687361e+003	7.8581559e+003	2.8860798e+003	143
1.6777215e-006	3.4676788e-004	7.8597246e+003	7.8491264e+003	2.8827735e+003	144
1.6908287e-006	3.4716477e-004	7.8507389e+003	7.8401227e+003	2.8794766e+003	145
1.7039359e-006	3.4756144e-004	7.8417789e+003	7.8311447e+003	2.8761891e+003	146
1.7170431e-006	3.4795789e-004	7.8328445e+003	7.8221923e+003	2.8729110e+003	147
1.7301503e-006	3.4835410e-004	7.8239355e+003	7.8132653e+003	2.8696423e+003	148
1.7432575e-006	3.4875009e-004	7.8150518e+003	7.8043636e+003	2.8663828e+003	149
1.7563647e-006	3.4914585e-004	7.8061934e+003	7.7954872e+003	2.8631326e+003	150
1.7694719e-006	3.4954138e-004	7.7973600e+003	7.7866358e+003	2.8598916e+003	151
1.7825791e-006	3.4993669e-004	7.7885517e+003	7.7778095e+003	2.8566598e+003	152
1.7956863e-006	3.5033177e-004	7.7797682e+003	7.7690080e+003	2.8534371e+003	153
1.8087935e-006	3.5072663e-004	7.7710095e+003	7.7602313e+003	2.8502235e+003	154
1.8219007e-006	3.5112127e-004	7.7622755e+003	7.7514793e+003	2.8470189e+003	155
1.8350079e-006	3.5151568e-004	7.7535660e+003	7.7427518e+003	2.8438233e+003	156
1.8481151e-006	3.5190987e-004	7.7448809e+003	7.7340487e+003	2.8406367e+003	157
1.8612223e-006	3.5230383e-004	7.7362201e+003	7.7253700e+003	2.8374591e+003	158
1.8743295e-006	3.5269757e-004	7.7275836e+003	7.7167154e+003	2.8342903e+003	159
1.8874367e-006	3.5309110e-004	7.7189712e+003	7.7080850e+003	2.8311303e+003	160
1.9005439e-006	3.5348440e-004	7.7103828e+003	7.6994786e+003	2.8279792e+003	161
1.9136511e-006	3.5387748e-004	7.7018182e+003	7.6908961e+003	2.8248368e+003	162
1.9267583e-006	3.5427034e-004	7.6932775e+003	7.6823373e+003	2.8217032e+003	163
1.9398655e-006	3.5466298e-004	7.6847604e+003	7.6738023e+003	2.8185782e+003	164
1.9529727e-006	3.5505540e-004	7.6762669e+003	7.6652908e+003	2.8154619e+003	165
1.9660799e-006	3.5544760e-004	7.6677969e+003	7.6568028e+003	2.8123542e+003	166
1.9791871e-006	3.5583958e-004	7.6593502e+003	7.6483381e+003	2.8092551e+003	167
1.9922943e-006	3.5623135e-004	7.6509268e+003	7.6398967e+003	2.8061645e+003	168
2.0054015e-006	3.5662290e-004	7.6425266e+003	7.6314785e+003	2.8030824e+003	169
2.0185087e-006	3.5701423e-004	7.6341494e+003	7.6230834e+003	2.8000088e+003	170
2.0316159e-006	3.5740535e-004	7.6257952e+003	7.6147112e+003	2.7969436e+003	171
2.0447231e-006	3.5779625e-004	7.6174638e+003	7.6063618e+003	2.7938867e+003	172
2.0578303e-006	3.5818694e-004	7.6091552e+003	7.5980352e+003	2.7908383e+003	173
2.0709375e-006	3.5857741e-004	7.6008693e+003	7.5897313e+003	2.7877981e+003	174
2.0840447e-006	3.5896766e-004	7.5926059e+003	7.5814499e+003	2.7847662e+003	175
2.0971519e-006	3.5935771e-004	7.5843650e+003	7.5731910e+003	2.7817426e+003	176
2.1102591e-006	3.5974754e-004	7.5761464e+003	7.5649545e+003	2.7787272e+003	177
2.1233663e-006	3.6013715e-004	7.5679501e+003	7.5567402e+003	2.7757199e+003	178
2.1364735e-006	3.6052656e-004	7.5597760e+003	7.5485481e+003	2.7727208e+003	179
2.1495807e-006	3.6091575e-004	7.5516239e+003	7.5403781e+003	2.7697298e+003	180
2.1626879e-006	3.6130473e-004	7.5434939e+003	7.5322300e+003	2.7667468e+003	181
2.1757951e-006	3.6169350e-004	7.5353857e+003	7.5241039e+003	2.7637719e+003	182
2.1889023e-006	3.6208206e-004	7.5272993e+003	7.5159995e+003	2.7608049e+003	183
2.2020095e-006	3.6247040e-004	7.5192346e+003	7.5079168e+003	2.7578459e+003	184
2.2151167e-006	3.6285854e-004	7.5111915e+003	7.4998558e+003	2.7548949e+003	185
2.2282239e-006	3.6324647e-004	7.5031699e+003	7.4918162e+003	2.7519517e+003	186
2.2413311e-006	3.6363419e-004	7.4951697e+003	7.4837981e+003	2.7490164e+003	187
2.2544383e-006	3.6402171e-004	7.4871909e+003	7.4758013e+003	2.7460889e+003	188
2.2675455e-006	3.6440901e-004	7.4792333e+003	7.4678257e+003	2.7431693e+003	189
2.2806527e-006	3.6479611e-004	7.4712968e+003	7.4598713e+003	2.7402573e+003	190
2.2937599e-006	3.6518300e-004	7.4633814e+003	7.4519379e+003	2.7373531e+003	191
2.3068671e-006	3.6556968e-004	7.4554870e+003	7.4440255e+003	2.7344566e+003	192
2.3199743e-006	3.6595616e-004	7.4476134e+003	7.4361340e+003	2.7315678e+003	193
2.3330815e-006	3.6634243e-004	7.4397607e+003	7.4282632e+003	2.7286865e+003	194
2.3461887e-006	3.6672850e-004	7.4319286e+003	7.4204132e+003	2.7258129e+003	195
2.3592959e-006	3.6711436e-004	7.4241172e+003	7.4125838e+003	2.7229469e+003	196
2.3724031e-006	3.6750001e-004	7.4163263e+003	7.4047749e+003	2.7200883e+003	197
2.3855103e-006	3.6788547e-004	7.4085558e+003	7.3969865e+003	2.7172373e+003	198
2.3986175e-006	3.6827072e-004	7.4008057e+003	7.3892184e+003	2.7143937e+003	199
2.4117247e-006	3.6865576e-004	7.3930758e+003	7.3814706e+003	2.7115576e+003	200
2.4248319e-006	3.6904061e-004	7.3853661e+003	7.3737429e+003	2.7087289e+003	201
2.4379391e-006	3.6942525e-004	7.3776766e+003	7.3660354e+003	2.7059076e+003	202
2.4510463e-006	3.6980969e-004	7.3700070e+003	7.3583479e+003	2.7030936e+003	203
2.4641535e-006	3.7019393e-004	7.3623574e+003	7.3506803e+003	2.7002869e+003	204
2.4772607e-006	3.7057796e-004	7.3547277e+003	7.3430326e+003	2.6974875e+003	205
2.4903679e-006	3.7096180e-004	7.3471177e+003	7.3354047e+003	2.6946953e+003	206
2.5034751e-006	3.7134544e-004	7.3395274e+003	7.3277964e+003	2.6919104e+003	207
2.5165823e-006	3.7172887e-004	7.3319567e+003	7.3202078e+003	2.6891327e+003	208
2.5296895e-006	3.7211211e-004	7.3244055e+003	7.3126387e+003	2.6863621e+003	209
2.5427967e-006	3.7249515e-004	7.3168738e+003	7.3050890e+003	2.6835987e+003	210
2.5559039e-006	3.7287799e-004	7.3093614e+003	7.2975587e+003	2.6808424e+003	211
2.5690111e-006	3.7326063e-004	7.3018683e+003	7.2900476e+003	2.6780931e+003	212
2.5821183e-006	3.7364308e-004	7.2943945e+003	7.2825558e+003	2.6753509e+003	213
2.5952255e-006	3.7402532e-004	7.2869397e+003	7.2750831e+003	2.6726158e+003	214
2.6083327e-006	3.7440738e-004	7.2795040e+003	7.2676295e+003	2.6698876e+003	215
2.6214399e-006	3.7478923e-004	7.2720873e+003	7.2601948e+003	2.6671663e+003	216
2.6345471e-006	3.7517089e-004	7.2646895e+003	7.2527790e+003	2.6644520e+003	217
2.6476543e-006	3.7555235e-004	7.2573105e+003	7.2453821e+003	2.6617446e+003	218
2.6607615e-006	3.7593362e-004	7.2499502e+003	7.2380038e+003	2.6590441e+003	219
2.6738687e-006	3.7631469e-004	7.2426086e+003	7.2306443e+003	2.6563504e+003	220
2.6869759e-006	3.7669557e-004	7.2352856e+003	7.2233033e+003	2.6536636e+003	221
2.7000831e-006	3.7707625e-004	7.2279811e+003	7.2159809e+003	2.6509835e+003	222
2.7131903e-006	3.7745674e-004	7.2206950e+003	7.2086769e+003	2.6483102e+003	223
2.7262975e-006	3.7783704e-004	7.2134273e+003	7.2013912e+003	2.6456437e+003	224
2.7394047e-006	3.7821714e-004	7.2061779e+003	7.1941239e+003	2.6429838e+003	225
2.7525119e-006	3.7859705e-004	7.1989467e+003	7.1868747e+003	2.6403306e+003	226
2.7656191e-006	3.7897677e-004	7.1917336e+003	7.1796437e+003	2.6376841e+003	227
2.7787263e-006	3.7935630e-004	7.1845386e+003	7.1724308e+003	2.6350443e+003	228
2.7918335e-006	3.7973564e-004	7.1773617e+003	7.1652359e+003	2.6324110e+003	229
2.8180479e-006	3.8049374e-004	7.1630614e+003	7.1508997e+003	2.6271642e+003	230
2.8442623e-006	3.8125108e-004	7.1488323e+003	7.1366347e+003	2.6219434e+003	231
2.8704767e-006	3.8200766e-004	7.1346737e+003	7.1224403e+003	2.6167486e+003	232
2.8966911e-006	3.8276349e-004	7.1205851e+003	7.1083159e+003	2.6115794e+003	233
2.9229055e-006	3.8351856e-004	7.1065660e+003	7.0942609e+003	2.6064357e+003	234
2.9491199e-006	3.8427289e-004	7.0926159e+003	7.0802749e+003	2.6013173e+003	235
2.9753343e-006	3.8502647e-004	7.0787340e+003	7.0663572e+003	2.5962240e+003	236
3.0015487e-006	3.8577931e-004	7.0649201e+003	7.0525074e+003	2.5911556e+003	237
3.0277631e-006	3.8653141e-004	7.0511734e+003	7.0387248e+003	2.5861119e+003	238
3.0539775e-006	3.8728277e-004	7.0374935e+003	7.0250091e+003	2.5810926e+003	239
3.0801919e-006	3.8803340e-004	7.0238798e+003	7.0113596e+003	2.5760977e+003	240
3.1064063e-006	3.8878330e-004	7.0103320e+003	6.9977759e+003	2.5711269e+003	241
3.1326207e-006	3.8953247e-004	6.9968493e+003	6.9842574e+003	2.5661801e+003	242
3.1588351e-006	3.9028091e-004	6.9834314e+003	6.9708037e+003	2.5612570e+003	243
3.1850495e-006	3.9102864e-004	6.9700778e+003	6.9574142e+003	2.5563575e+003	244
3.2112639e-006	3.9177564e-004	6.9567879e+003	6.9440885e+003	2.5514813e+003	245
3.2374783e-006	3.9252192e-004	6.9435613e+003	6.9308260e+003	2.5466284e+003	246
3.2636927e-006	3.9326749e-004	6.9303974e+003	6.9176264e+003	2.5417985e+003	247
3.2899071e-006	3.9401235e-004	6.9172959e+003	6.9044890e+003	2.5369915e+003	248
3.3161215e-006	3.9475650e-004	6.9042562e+003	6.8914135e+003	2.5322072e+003	249
3.3423359e-006	3.9549994e-004	6.8912779e+003	6.8783994e+003	2.5274454e+003	250
3.3685503e-006	3.9624268e-004	6.8783605e+003	6.8654462e+003	2.5227059e+003	251
3.3947647e-006	3.9698472e-004	6.8655036e+003	6.8525535e+003	2.5179887e+003	252
3.4209791e-006	3.9772606e-004	6.8527066e+003	6.8397207e+003	2.5132934e+003	253
3.4471935e-006	3.9846670e-004	6.8399693e+003	6.8269476e+003	2.5086200e+003	254
3.4734079e-006	3.9920665e-004	6.8272910e+003	6.8142335e+003	2.5039683e+003	255
3.4996223e-006	3.9994592e-004	6.8146714e+003	6.8015781e+003	2.4993381e+003	256
3.5258367e-006	4.0068449e-004	6.8021101e+003	6.7889810e+003	2.4947293e+003	257
3.5520511e-006	4.0142238e-004	6.7896066e+003	6.7764417e+003	2.4901416e+003	258
3.5782655e-006	4.0215958e-004	6.7771604e+003	6.7639598e+003	2.4855751e+003	259
3.6044799e-006	4.0289611e-004	6.7647713e+003	6.7515349e+003	2.4810294e+003	260
3.6306943e-006	4.0363195e-004	6.7524387e+003	6.7391665e+003	2.4765045e+003	261
3.6569087e-006	4.0436712e-004	6.7401622e+003	6.7268542e+003	2.4720002e+003	262
3.6831231e-006	4.0510162e-004	6.7279414e+003	6.7145977e+003	2.4675164e+003	263
3.7093375e-006	4.0583545e-004	6.7157760e+003	6.7023965e+003	2.4630528e+003	264
3.7355519e-006	4.0656861e-004	6.7036656e+003	6.6902503e+003	2.4586094e+003	265
3.7617663e-006	4.0730111e-004	6.6916096e+003	6.6781586e+003	2.4541861e+003	266
3.7879807e-006	4.0803294e-004	6.6796078e+003	6.6661210e+003	2.4497825e+003	267
3.8141951e-006	4.0876411e-004	6.6676597e+003	6.6541372e+003	2.4453987e+003	268
3.8404095e-006	4.0949462e-004	6.6557650e+003	6.6422068e+003	2.4410345e+003	269
3.8666239e-006	4.1022448e-004	6.6439233e+003	6.6303293e+003	2.4366897e+003	270
3.8928383e-006	4.1095368e-004	6.6321343e+003	6.6185045e+003	2.4323642e+003	271
3.9190527e-006	4.1168224e-004	6.6203974e+003	6.6067319e+003	2.4280579e+003	272
3.9452671e-006	4.1241014e-004	6.6087124e+003	6.5950112e+003	2.4237706e+003	273
3.9714815e-006	4.1313740e-004	6.5970789e+003	6.5833420e+003	2.4195023e+003	274
3.9976959e-006	4.1386401e-004	6.5854966e+003	6.5717239e+003	2.4152526e+003	275
4.0239103e-006	4.1458998e-004	6.5739650e+003	6.5601566e+003	2.4110216e+003	276
4.0501247e-006	4.1531531e-004	6.5624839e+003	6.5486397e+003	2.4068092e+003	277
4.0763391e-006	4.1604000e-004	6.5510528e+003	6.5371729e+003	2.4026150e+003	278
4.1025535e-006	4.1676406e-004	6.5396714e+003	6.5257559e+003	2.3984392e+003	279
4.1287679e-006	4.1748748e-004	6.5283395e+003	6.5143882e+003	2.3942814e+003	280
4.1549823e-006	4.1821028e-004	6.5170565e+003	6.5030695e+003	2.3901416e+003	281
4.1811967e-006	4.1893244e-004	6.5058223e+003	6.4917996e+003	2.3860197e+003	282
4.2074111e-006	4.1965398e-004	6.4946364e+003	6.4805780e+003	2.3819156e+003	283
4.2336255e-006	4.2037489e-004	6.4834985e+003	6.4694045e+003	2.3778290e+003	284
4.2598399e-006	4.2109518e-004	6.4724084e+003	6.4582786e+003	2.3737600e+003	285
4.2860543e-006	4.2181485e-004	6.4613656e+003	6.4472001e+003	2.3697084e+003	286
4.3122687e-006	4.2253391e-004	6.4503699e+003	6.4361687e+003	2.3656740e+003	287
4.3384831e-006	4.2325235e-004	6.4394209e+003	6.4251840e+003	2.3616567e+003	288
4.3646975e-006	4.2397017e-004	6.4285183e+003	6.4142458e+003	2.3576565e+003	289
4.3909119e-006	4.2468738e-004	6.4176618e+003	6.4033536e+003	2.3536732e+003	290
4.4171263e-006	4.2540399e-004	6.4068511e+003	6.3925072e+003	2.3497067e+003	291
4.4433407e-006	4.2611998e-004	6.3960859e+003	6.3817063e+003	2.3457569e+003	292
4.4695551e-006	4.2683537e-004	6.3853658e+003	6.3709506e+003	2.3418236e+003	293
4.4957695e-006	4.2755016e-004	6.3746907e+003	6.3602398e+003	2.3379069e+003	294
